moment,reaction,offensiveness,responsibility
19,24,1.35,-0.44
19,25,0.21,0.48
19,26,0.2,1.79
19,27,2.5,-0.41
19,28,0.75,0.14
19,29,0.67,0.47
19,30,2.25,0
19,31,-0.19,3.03
19,32,-0.25,0.14
19,33,1.03,0.93
19,34,2.84,-0.24
19,35,-0.21,-0.01
19,36,4.03,-0.5
19,37,-0.4,-0.44
19,38,-0.04,-0.32
19,39,0.38,0.09
19,40,2,0.92
19,41,2.72,0.31
19,42,2.14,1.3
19,43,1.32,1.41
19,44,0.01,4.68
19,45,1.09,-0.62
19,46,1.74,0.32
19,47,1.02,-0.4
19,48,3.07,1.72
19,49,1.99,2.08
20,0,1.51,-0.28
20,1,2.67,-0.56
20,2,-0.08,1.33
20,3,0.28,1.61
20,4,1.39,-0.98
20,5,-0.02,2.9
20,6,0.14,0.36
20,7,0.49,-0.58
20,8,1.91,-1.2
20,9,2,-0.33
20,10,1.08,2.17
20,11,-0.29,-0.71
20,12,0.98,-1.04
20,13,2.38,0.35
20,14,2.9,-0.22
20,15,0.64,1.02
20,16,0.34,0.46
20,17,-0.05,-0.08
20,18,1.38,-0.14
20,19,2.59,-1.15
20,20,-0.61,-0.33
20,21,1.16,0.13
20,22,3.86,-0.02
20,23,2.44,0.16
20,24,1.64,-0.72
20,25,0.7,-0.59
20,26,-0.71,5.17
20,27,1.44,0.39
20,28,0.5,0.22
20,29,-0.76,-0.74
20,30,2.44,0.06
20,31,0.48,1.6
20,32,-0.48,-0.17
20,33,0,0.62
20,34,2.19,-0.74
20,35,0.21,-0.25
20,36,1.98,-1.02
20,37,2.7,-1.02
20,38,-0.22,0.65
20,39,0.37,0.15
20,40,0.52,0.75
20,41,0.42,0.75
20,42,0.17,0.32
20,43,0.7,1.06
20,44,-0.47,3.92
20,45,0.94,2.19
20,46,1.5,1.69
20,47,2.95,-0.9
20,48,-0.08,0.83
20,49,0.3,0.16
21,0,6.3,-0.35
21,1,2.14,-0.38
21,2,0.2,-0.72
21,3,0.82,-0.19
21,4,0.11,-1.17
21,5,-0.34,4.56
21,6,0.95,0.33
21,7,0.09,-0.3
21,8,3.1,-1.1
21,9,4.75,-0.65
21,10,0.14,0.5
21,11,1.51,-0.39
21,12,1.61,-0.42
21,13,3.7,-0.65
21,14,3.21,-0.3
21,15,0.11,0.28
21,16,6.01,0.06
21,17,0.22,-0.51
21,18,0.95,-0.9
21,19,4.19,-0.54
21,20,4.03,-0.58
21,21,1.84,-0.61
21,22,3.34,-0.35
21,23,5.72,-0.26
21,24,2.34,-0.24
21,25,2.1,-0.42
21,26,-0.1,2.64
21,27,3.45,-0.87
21,28,2.88,-0.45
21,29,1.49,0.86
21,30,1.54,-0.33
21,31,2.05,0.74
21,32,-0.39,-0.5
21,33,0.88,-0.6
21,34,1.82,-0.25
21,35,2.91,-0.82
21,36,2.44,-0.33
21,37,6,-0.3
21,38,0.22,0.48
21,39,0.59,-0.85
21,40,2.4,0.17
21,41,1.25,0.54
